FileName	Sample	Column	Set	Date	Run order	Actual Run Order	Batch
UpoolS1_200805_01	UpoolS1	Column1	Set0 	200805	1	1	1
U11_200805_02	U11	Column1	Set0 	200805	2	2	1
U124_200805_03	U124	Column1	Set0 	200805	3	3	1
U100_200805_04	U100	Column1	Set0 	200805	4	4	1
U471_200805_05	U471	Column1	Set0 	200805	5	5	1
U496_200805_06	U496	Column1	Set0 	200805	6	6	1
U64_200805_07	U64	Column1	Set0 	200805	7	7	1
U34_200805_08	U34	Column1	Set0 	200805	8	8	1
U125_200805_09	U125	Column1	Set0 	200805	9	9	1
UpoolS1_200805_10	UpoolS1	Column1	Set0 	200805	10	10	1
U508_200805_11	U508	Column1	Set0 	200805	11	11	1
U135_200805_12	U135	Column1	Set0 	200805	12	12	1
U70_200805_13	U70	Column1	Set0 	200805	13	13	1
U480_200807_01	U480	Column1	Set0 	200807	1	14	1
U493_200807_02	U493	Column1	Set0 	200807	2	15	1
U37_200807_03	U37	Column1	Set0 	200807	3	16	1
U14_200807_04	U14	Column1	Set0 	200807	4	17	1
U149_200807_05	U149	Column1	Set0 	200807	5	18	1
U146_200807_06	U146	Column1	Set0 	200807	6	19	1
U22_200807_07	U22	Column1	Set0 	200807	7	20	1
UpoolS1_200807_08	UpoolS1	Column1	Set0 	200807	8	21	1
UpoolS12_200827_01	UpoolS12	Column2	Set0 	200827	1	22	2
UpoolS12_200827_02	UpoolS12	Column2	Set0 	200827	2	23	2
U297_200827_03	U297	Column2	Set0 	200827	3	24	2
U359_200827_04	U359	Column2	Set0 	200827	4	25	2
U11_200827_05	U11	Column2	Set0 	200827	5	26	2
U124_200827_06	U124	Column2	Set0 	200827	6	27	2
Upool_200827_swtch_07	Upool	Column2	Set0 	200827	7	28	2
UpoolS1_200827_08	UpoolS1	Column2	Set0 	200827	8	29	2
UpoolS1_200827_09	UpoolS1	Column2	Set0 	200827	9	30	2
Upool_200827_swtch_10	Upool	Column2	Set0 	200827	10	31	2
U402_200827_11	U402	Column2	Set0 	200827	11	32	2
U399_200827_12	U399	Column2	Set0 	200827	12	33	2
U393_200827_13	U393	Column2	Set0 	200827	13	34	2
Upool_200827_S1234_15	Upool	Column2	Set0 	200827	15	35	2
U343_200827_16	U343	Column2	Set0 	200827	16	36	2
U404_200827_17	U404	Column2	Set0 	200827	17	37	2
U355_200827_18	U355	Column2	Set0 	200827	18	38	2
U365_200827_19	U365	Column2	Set0 	200827	19	39	2
U326_200827_20	U326	Column2	Set0 	200827	20	40	2
U304_200827_22	U304	Column2	Set0 	200827	22	41	2
U394_200827_23	U394	Column2	Set0 	200827	23	42	2
U363_200827_24	U363	Column2	Set0 	200827	24	43	2
U352_200827_25	U352	Column2	Set0 	200827	25	44	2
U362_200827_26	U362	Column2	Set0 	200827	26	45	2
Upool_200827e_27	Upool	Column2	Set0 	200827	27	46	2
U395_200827_28	U395	Column2	Set0 	200827	28	47	2
U275_200827_29	U275	Column2	Set0 	200827	29	48	2
U290_200827_30	U290	Column2	Set0 	200827	30	49	2
U319_200827_35	U319	Column2	Set0 	200827	35	50	2
Upool_200910_31	Upool	Column3	Set0 	200910	31	51	3
Upool_200910_32	Upool	Column3	Set0 	200910	32	52	3
U275_200910_33	U275	Column3	Set0 	200910	33	53	3
U290_200910_34	U290	Column3	Set0 	200910	34	54	3
U319_200910_35	U319	Column3	Set0 	200910	35	55	3
U384_200910_36	U384	Column3	Set0 	200910	36	56	3
Upool_200910_37	Upool	Column3	Set0 	200910	37	57	3
U413_200912_1	U413	Column3	Set0 	200912	1	58	3
U429_200912_2	U429	Column3	Set0 	200912	2	59	3
U422_200912_3	U422	Column3	Set0 	200912	3	60	3
U450_200912_4	U450	Column3	Set0 	200912	4	61	3
U443_200912_5	U443	Column3	Set0 	200912	5	62	3
Upool_200912_6	Upool	Column3	Set0 	200912	6	63	3
U425_200912_7	U425	Column3	Set0 	200912	7	64	3
U437_200912_8	U437	Column3	Set0 	200912	8	65	3
U427_200912_9	U427	Column3	Set0 	200912	9	66	3
U458_200912_10	U458	Column3	Set0 	200912	10	67	3
U415_200912_11	U415	Column3	Set0 	200912	11	68	3
Upool_200912_12	Upool	Column3	Set0 	200912	12	69	3
U412_200912_13	U412	Column3	Set0 	200912	13	70	3
U424_200912_15	U424	Column3	Set0 	200912	15	71	3
U452_200912_16	U452	Column3	Set0 	200912	16	72	3
Upool_200912_17	Upool	Column3	Set0 	200912	17	73	3
U433_200912_18	U433	Column3	Set0 	200912	18	74	3
U432_200912_19	U432	Column3	Set0 	200912	19	75	3
U436_200912_20	U436	Column3	Set0 	200912	20	76	3
Upool_200921_1	Upool	Column4	Set0 	200921	1	77	4
Upool_200921_2	Upool	Column4	Set0 	200921	2	78	4
U11_set1_200921_3	U11	Column4	Set1 	200921	3	79	4
Upool_200921_200922042327	Upool	Column4	Set0 	200921		80	4
Upool_200925_1	Upool	Column4	Set0 	200925	1	81	4
U275_set2_200925_2	U275	Column4	Set2	200925	2	82	4
U290_set2_200925_3	U290	Column4	Set2	200925	3	83	4
U319_set2_200925_3	U319	Column4	Set2	200925	3	84	4
U384_set2_200925_4	U384	Column4	Set2	200925	4	85	4
U432_set3_200925_5	U432	Column4	Set3	200925	5	86	4
U432_set3_200925_6	U432	Column4	Set3	200925	6	87	4
U405_set3_200925_7	U405	Column4	Set3	200925	7	88	4
