Protein	A1	A100	A108	A11	A118	A124	A125	A126	A139	A14	A146	A148	A155	A169	A170	A177	A181	A185	A208	A209	A215	A22	A220	A221	A253	A260	A262	A264	A269	A270	A275	A278	A279	A280	A281	A286	A287	A290	A296	A297	A298	A302	A304	A311	A313	A314	A317	A318	A319	A321	A324	A326	A328	A329	A331	A332	A335	A34	A343	A346	A347	A351	A353	A355	A359	A362	A363	A365	A367	A37	A377	A379	A381	A383	A384	A386	A388	A39	A393	A394	A395	A399	A402	A404	A405	A406	A407	A411	A412	A413	A414	A415	A417	A419	A422	A424	A425	A427	A428	A429	A432	A433	A436	A437	A438	A441	A442	A443	A444	A448	A450	A451	A452	A455	A456	A457	A458	A459	A461	A463	A468	A470	A471	A472	A473	A476	A478	A480	A484	A485	A493	A494	A496	A5	A502	A505	A506	A512	A518	A525	A527	A530	A535	A58	A62	A64	A69	A70	A75	A77	A85
A0A075B6H7	18.41311965	18.26437845	18.20645161	16.92770853	18.05918072	18.29551785	18.32300197	17.87999598	17.19949023	17.36952919	18.64674854	18.05918072	18.32300197	18.1485163	17.71848605	18.05918072	18.51486042	19.33310293	17.61956088	17.97281155	18.32300197	18.64674854	18.61554343	18.32300197	18.51486042	17.87999598	18.29551785	15.96648292	18.20645161	16.283848	18.05918072	16.89097671	17.49346458	18.1485163	18.61554343	18.05918072	18.11872314	16.53994636	18.58049045	17.49346458	18.58049045	17.90996338	18.47631507	17.85233443	18.08941427	18.7134335	18.29551785	17.00787043	18.41311965	18.67639444	16.68753972	18.58049045	18.08941427	18.08941427	18.20645161	18.1485163	18.61554343	18.35387478	18.3846868	17.85233443	18.00145218	18.29551785	18.05918072	18.44057723	18.26437845	18.88780071	18.3846868	18.44057723	17.87999598	18.03181426	17.82445537	18.41311965	18.08941427	18.58049045	18.81662433	17.61956088	17.68543321	17.97281155	18.35387478	17.82445537	17.00787043	17.41002894	18.47631507	19.10861379	18.1485163	17.82445537	17.32734212	17.57538413	17.00787043	18.61554343	17.68543321	18.18013255	18.26437845	18.7134335	18.18013255	18.05918072	18.29551785	18.9625854	17.90996338	18.7134335	18.1485163	17.93902818	17.15841246	18.03181426	18.23456486	18.20645161	18.18013255	18.47631507	17.24269963	18.74617969	17.45358413	18.20645161	17.65299198	18.11872314	18.7134335	15.51307987	17.68543321	18.44057723	17.85233443	17.75260932	18.35387478	15.51307987	17.65299198	17.53426488	18.18013255	18.03181426	16.32374089	16.80865001	18.20645161	17.68543321	18.26437845	17.75260932	17.97281155	18.00145218	17.15841246	18.18013255	17.65299198	16.08953324	17.61956088	17.57538413	17.75260932	18.00145218	18.23456486	17.79265051	17.49346458	18.7134335	18.23456486	18.81662433	18.20645161	18.1485163	17.97281155
A0A075B6H9	18.61554343	18.74617969	18.00145218	17.90996338	18.00145218	18.64674854	18.77969371	18.51486042	18.00145218	18.64674854	18.35387478	18.61554343	19.23941906	19.07014978	18.67639444	18.03181426	17.87999598	18.3846868	18.23456486	18.08941427	17.41002894	18.9625854	19.10861379	18.35387478	17.28337779	18.41311965	19.00097103	17.00787043	17.49346458	19.73333315	18.23456486	17.79265051	18.54547358	17.79265051	18.05918072	18.74617969	18.51486042	17.79265051	18.8517094	17.45358413	17.45358413	18.67639444	17.36952919	17.00787043	18.20645161	18.64674854	18.03181426	15.92835644	17.28337779	16.85019905	18.03181426	18.00145218	18.77969371	18.03181426	17.97281155	17.85233443	17.87999598	18.92376851	17.97281155	17.53426488	17.45358413	17.32734212	18.81662433	18.47631507	18.18013255	17.24269963	18.29551785	18.81662433	17.24269963	18.54547358	18.23456486	18.32300197	18.35387478	18.32300197	19.1450689	18.54547358	17.71848605	17.71848605	18.23456486	18.20645161	18.51486042	18.18013255	18.08941427	19.00097103	18.77969371	18.03181426	17.71848605	18.35387478	18.9625854	17.93902818	17.28337779	18.35387478	18.54547358	19.46252224	18.3846868	12.71145189	18.18013255	18.58049045	13.33315535	18.20645161	18.18013255	18.64674854	18.29551785	18.3846868	18.8517094	17.68543321	18.47631507	18.23456486	18.67639444	17.41002894	18.47631507	17.49346458	18.18013255	17.93902818	21.86451792	18.7134335	17.97281155	18.77969371	18.23456486	18.3846868	17.75260932	18.47631507	19.07014978	17.97281155	17.82445537	18.54547358	18.05918072	17.32734212	17.75260932	18.67639444	18.51486042	18.74617969	17.28337779	18.03181426	18.88780071	18.11872314	18.03181426	19.57999352	17.90996338	18.67639444	18.29551785	18.11872314	17.19949023	19.1450689	18.64674854	17.97281155	18.51486042	18.3846868	18.11872314	17.87999598	18.1485163
A0A075B6I0	16.65329295	18.03181426	17.24269963	18.23456486	18.03181426	18.51486042	17.49346458	17.32734212	17.61956088	16.42693627	17.85233443	17.79265051	17.97281155	18.35387478	15.26832268	17.65299198	16.77034127	17.68543321	15.10115498	16.72733552	18.8517094	18.11872314	18.08941427	17.68543321	17.68543321	16.3563488	17.82445537	17.57538413	17.36952919	18.3846868	18.35387478	17.82445537	17.61956088	17.90996338	17.28337779	17.97281155	15.18553364	16.77034127	16.283848	17.97281155	17.08236738	18.05918072	15.69193431	18.61554343	17.41002894	17.85233443	17.68543321	15.34519731	18.18013255	16.57711899	18.05918072	16.53994636	17.82445537	17.68543321	17.71848605	17.04965714	17.75260932	17.82445537	16.283848	17.65299198	18.47631507	17.79265051	17.12077449	18.77969371	13.66966018	18.29551785	17.15841246	16.68753972	15.18553364	17.82445537	17.68543321	17.36952919	17.61956088	16.85019905	17.49346458	16.68753972	18.7134335	17.90996338	16.42693627	17.45358413	18.18013255	18.88780071	17.00787043	18.8517094	16.85019905	16.3563488	17.49346458	17.04965714	18.51486042	17.57538413	16.80865001	17.24269963	17.04965714	18.23456486	18.05918072	17.32734212	18.03181426	16.57711899	18.18013255	17.75260932	17.15841246	17.57538413	17.04965714	16.85019905	17.41002894	16.96784541	18.77969371	18.03181426	17.53426488	18.1485163	17.41002894	17.28337779	16.77034127	17.82445537	17.49346458	17.71848605	17.32734212	17.75260932	17.36952919	17.53426488	17.32734212	17.65299198	17.75260932	17.45358413	17.32734212	17.85233443	17.97281155	17.57538413	17.85233443	17.90996338	17.75260932	16.96784541	17.85233443	17.90996338	17.82445537	17.57538413	17.41002894	17.15841246	17.41002894	17.71848605	17.32734212	17.68543321	17.49346458	17.57538413	17.71848605	18.23456486	17.65299198	16.77034127	17.68543321	17.57538413	17.79265051
A0A075B6I1	17.08236738	15.5609597	15.30620413	12.83289001	16.89097671	12.71145189	12.71145189	15.85525783	16.32374089	16.72733552	15.69193431	12.17086395	17.49346458	15.34519731	17.15841246	15.46668192	13.04251439	16.57711899	16.65329295	17.04965714	13.50370153	12.44268437	16.65329295	16.39063921	16.61649141	15.65012616	12.71145189	13.94708898	16.57711899	14.19798453	15.92835644	15.81338039	16.61649141	12.30520676	14.93976285	13.94708898	14.12871935	15.42551097	12.44268437	12.30520676	16.13627023	15.0516338	15.34519731	17.45358413	15.96648292	15.85525783	16.24497697	15.60796598	12.17086395	12.58214198	13.58894882	16.42693627	15.69193431	15.5609597	17.32734212	15.30620413	16.32374089	12.58214198	16.17352099	16.3563488	16.08953324	14.93976285	16.17352099	14.32298437	12.94123105	14.00965369	17.57538413	17.24269963	12.0409746	12.17086395	17.41002894	15.81338039	15.88990793	16.68753972	17.57538413	12.83289001	14.00965369	15.88990793	14.43104049	17.49346458	18.77969371	14.54152016	16.20861541	16.08953324	16.92770853	12.44268437	12.71145189	15.38667086	17.15841246	17.32734212	12.83289001	15.30620413	16.32374089	17.00787043	14.88812487	14.54152016	17.79265051	16.92770853	16.80865001	16.39063921	17.08236738	14.43104049	16.65329295	15.42551097	17.75260932	12.58214198	16.46492858	15.30620413	16.68753972	16.42693627	16.53994636	16.42693627	16.3563488	14.12871935	19.17754606	15.88990793	15.34519731	16.92770853	16.24497697	15.88990793	15.30620413	16.20861541	16.39063921	15.65012616	15.92835644	17.04965714	15.77344832	13.04251439	16.0046155	16.53994636	12.71145189	17.08236738	12.83289001	16.80865001	16.32374089	16.85019905	15.73269742	17.71848605	16.283848	16.53994636	16.04511972	15.96648292	12.58214198	11.55506839	16.17352099	12.94123105	16.68753972	16.50183718	15.73269742	12.0409746	16.08953324
A0A075B6J9	16.46492858	16.283848	16.08953324	16.57711899	16.42693627	17.28337779	17.00787043	16.17352099	15.96648292	16.80865001	17.32734212	16.17352099	14.19798453	16.65329295	13.14545456	16.85019905	15.88990793	17.12077449	17.41002894	17.12077449	16.0046155	17.04965714	15.88990793	17.24269963	14.99722359	16.68753972	16.85019905	17.04965714	17.57538413	17.75260932	16.77034127	17.15841246	16.17352099	16.68753972	15.46668192	15.60796598	14.78453261	16.13627023	16.08953324	16.17352099	16.50183718	16.85019905	16.08953324	16.96784541	16.3563488	16.32374089	17.32734212	16.53994636	16.20861541	16.61649141	17.65299198	17.12077449	16.65329295	16.24497697	16.80865001	15.60796598	17.93902818	16.46492858	15.46668192	16.96784541	16.85019905	13.14545456	14.25930192	17.41002894	16.04511972	17.45358413	14.78453261	14.43104049	16.283848	16.77034127	16.20861541	16.39063921	17.53426488	17.24269963	16.72733552	15.22874355	17.19949023	16.08953324	14.88812487	15.65012616	17.49346458	16.53994636	17.53426488	16.72733552	16.24497697	15.38667086	15.14441926	16.32374089	16.17352099	16.32374089	15.22874355	18.03181426	15.88990793	16.68753972	17.24269963	16.57711899	17.45358413	17.04965714	17.04965714	16.72733552	17.32734212	17.00787043	17.75260932	17.19949023	16.80865001	17.49346458	14.54152016	16.92770853	15.88990793	16.3563488	16.61649141	16.17352099	16.20861541	16.32374089	17.19949023	16.08953324	17.19949023	16.57711899	16.20861541	16.17352099	16.3563488	15.92835644	16.57711899	16.08953324	16.32374089	16.39063921	16.46492858	17.19949023	16.42693627	16.80865001	16.24497697	16.283848	15.30620413	16.24497697	15.77344832	16.32374089	16.24497697	16.50183718	16.17352099	16.72733552	16.3563488	16.17352099	16.08953324	16.72733552	16.46492858	16.46492858	16.13627023	13.23855402	16.20861541	16.283848	15.96648292
A0A075B6K4	19.55272538	14.83521156	18.9625854	19.1450689	18.58049045	19.00097103	18.51486042	19.33310293	18.9625854	19.52142024	18.9625854	19.1450689	18.35387478	19.36627739	19.1450689	19.1450689	18.92376851	18.54547358	18.03181426	19.42826202	18.3846868	18.81662433	19.20774122	19.1450689	19.03572002	19.57999352	18.81662433	18.77969371	18.7134335	19.26925455	19.03572002	19.36627739	19.91245082	15.22874355	19.57999352	19.83903767	19.36627739	19.20774122	18.92376851	18.9625854	20.0258614	18.8517094	18.81662433	18.77969371	19.49128748	18.61554343	19.03572002	18.1485163	18.32300197	19.07014978	18.8517094	18.67639444	18.44057723	18.88780071	18.7134335	18.35387478	19.52142024	18.77969371	18.58049045	18.41311965	18.74617969	17.15841246	19.07014978	19.26925455	19.07014978	18.35387478	19.46252224	18.18013255	19.57999352	18.7134335	19.67102096	18.81662433	19.55272538	19.30290439	19.39877917	19.10861379	15.73269742	19.00097103	18.9625854	18.88780071	19.26925455	19.57999352	15.42551097	17.19949023	18.61554343	18.67639444	18.77969371	19.00097103	19.67102096	19.39877917	19.1450689	15.18553364	19.70037537	18.77969371	19.70037537	19.17754606	17.97281155	19.46252224	18.7134335	18.88780071	18.32300197	18.47631507	19.55272538	18.8517094	19.79899223	18.74617969	19.57999352	18.54547358	19.00097103	19.00097103	19.33310293	18.44057723	19.07014978	18.51486042	17.12077449	19.52142024	18.20645161	19.46252224	19.30290439	19.26925455	18.81662433	19.61008043	18.3846868	18.77969371	18.32300197	19.63615905	18.7134335	18.9625854	18.64674854	19.42826202	19.20774122	18.88780071	18.00145218	18.8517094	19.26925455	18.74617969	19.10861379	19.83903767	19.07014978	19.23941906	18.74617969	19.17754606	18.51486042	18.92376851	18.77969371	19.07014978	18.92376851	18.92376851	19.26925455	19.20774122	19.07014978
A0A075B6K5	19.39877917	19.63615905	19.20774122	19.17754606	19.42826202	18.7134335	18.88780071	19.26925455	19.70037537	19.30290439	20.11354252	19.39877917	18.9625854	20.73985064	19.55272538	20.20235344	18.67639444	19.17754606	18.54547358	19.23941906	19.46252224	19.39877917	20.11354252	20.15745796	19.49128748	19.03572002	19.17754606	20.06647947	19.91245082	19.36627739	19.17754606	19.63615905	19.63615905	19.76718872	19.98558626	20.15745796	19.57999352	18.44057723	19.30290439	19.49128748	19.49128748	18.64674854	19.83903767	19.57999352	19.57999352	20.0258614	19.33310293	18.41311965	19.61008043	18.92376851	21.05378141	19.63615905	19.61008043	19.49128748	19.61008043	19.42826202	20.82683086	19.61008043	19.79899223	19.20774122	19.98558626	20.30128965	19.49128748	20.0258614	19.83903767	19.55272538	19.17754606	19.42826202	19.63615905	18.92376851	19.63615905	19.42826202	18.88780071	19.1450689	19.49128748	19.42826202	19.20774122	19.26925455	19.33310293	19.46252224	18.7134335	19.61008043	19.46252224	17.45358413	19.33310293	19.10861379	18.74617969	19.91245082	19.23941906	20.82683086	19.67102096	20.0258614	19.00097103	19.39877917	19.30290439	19.07014978	19.30290439	21.05378141	19.42826202	19.67102096	19.30290439	18.7134335	18.88780071	20.43179241	19.76718872	19.76718872	20.15745796	19.76718872	19.55272538	19.26925455	19.95389945	19.46252224	19.26925455	19.07014978	19.03572002	19.26925455	18.7134335	19.23941906	19.39877917	19.70037537	19.42826202	19.55272538	19.63615905	19.42826202	19.26925455	19.46252224	19.61008043	19.03572002	19.73333315	19.55272538	19.63615905	19.33310293	19.1450689	19.52142024	19.73333315	19.20774122	19.67102096	19.10861379	19.70037537	19.52142024	19.33310293	19.46252224	19.67102096	19.52142024	19.39877917	19.23941906	19.70037537	19.79899223	19.61008043	19.39877917	19.39877917
A0A075B6P5;P01615	18.26437845	18.7134335	18.54547358	18.20645161	18.35387478	19.70037537	17.82445537	18.58049045	18.20645161	18.8517094	18.26437845	16.57711899	18.61554343	19.10861379	18.35387478	18.32300197	18.23456486	18.26437845	18.35387478	18.7134335	18.20645161	15.77344832	18.64674854	18.03181426	18.00145218	18.61554343	17.45358413	16.80865001	19.07014978	19.20774122	18.64674854	17.87999598	18.81662433	18.54547358	15.0516338	18.54547358	18.08941427	18.00145218	18.9625854	18.81662433	18.7134335	18.74617969	18.08941427	18.03181426	18.51486042	18.18013255	18.20645161	17.90996338	18.05918072	18.3846868	19.20774122	18.41311965	18.58049045	18.11872314	18.61554343	18.7134335	18.54547358	17.24269963	18.1485163	18.44057723	17.85233443	16.72733552	18.61554343	18.67639444	15.92835644	18.05918072	18.9625854	18.7134335	15.5609597	20.25368593	17.97281155	18.77969371	18.41311965	17.97281155	18.61554343	15.34519731	17.79265051	18.08941427	18.20645161	18.51486042	19.03572002	17.53426488	18.77969371	18.32300197	17.85233443	20.34291888	18.00145218	18.29551785	18.58049045	18.64674854	18.81662433	18.1485163	18.41311965	18.08941427	18.74617969	18.58049045	18.64674854	18.7134335	18.26437845	18.44057723	18.20645161	18.51486042	18.23456486	18.1485163	18.67639444	15.5609597	18.64674854	18.61554343	18.35387478	18.54547358	18.74617969	17.57538413	18.7134335	18.58049045	19.76718872	18.64674854	18.32300197	19.03572002	18.7134335	18.64674854	17.85233443	18.61554343	18.81662433	17.87999598	18.11872314	17.87999598	18.1485163	15.73269742	18.41311965	18.41311965	18.32300197	18.64674854	20.30128965	18.67639444	18.74617969	18.44057723	18.29551785	19.03572002	18.08941427	18.44057723	19.20774122	18.3846868	18.08941427	16.57711899	18.74617969	20.77996056	18.64674854	18.74617969	18.08941427	15.81338039	18.18013255
A0A075B6R2	17.68543321	18.77969371	17.68543321	18.18013255	17.87999598	17.90996338	18.11872314	18.05918072	18.8517094	19.07014978	15.81338039	17.87999598	14.48639511	18.54547358	17.28337779	18.8517094	17.93902818	17.53426488	15.38667086	17.19949023	19.63615905	18.7134335	16.96784541	18.23456486	17.82445537	17.71848605	17.24269963	19.07014978	18.44057723	19.00097103	18.9625854	18.64674854	18.44057723	18.74617969	17.87999598	17.82445537	17.79265051	17.97281155	14.99722359	18.3846868	19.20774122	18.77969371	18.61554343	18.26437845	18.81662433	18.92376851	16.04511972	18.81662433	17.82445537	15.22874355	17.15841246	14.72013736	17.85233443	18.00145218	18.00145218	14.88812487	18.00145218	18.11872314	18.81662433	15.65012616	19.36627739	17.19949023	17.68543321	18.51486042	17.45358413	18.64674854	17.45358413	17.71848605	18.20645161	17.87999598	17.90996338	18.03181426	14.88812487	19.10861379	18.58049045	18.64674854	16.0046155	18.05918072	18.32300197	17.75260932	17.68543321	17.85233443	17.08236738	18.41311965	18.64674854	17.24269963	18.03181426	17.79265051	18.29551785	17.75260932	17.85233443	17.75260932	18.92376851	18.29551785	18.51486042	15.88990793	18.7134335	15.5609597	19.26925455	18.26437845	18.3846868	18.81662433	19.07014978	15.22874355	18.9625854	18.1485163	18.3846868	19.61008043	17.93902818	18.3846868	15.42551097	18.88780071	18.47631507	18.92376851	16.39063921	17.68543321	17.61956088	17.85233443	18.11872314	18.41311965	17.93902818	18.26437845	17.04965714	18.61554343	18.35387478	16.77034127	18.18013255	17.68543321	17.71848605	18.00145218	19.10861379	16.13627023	18.44057723	18.58049045	18.00145218	18.64674854	18.05918072	18.35387478	18.29551785	18.05918072	16.17352099	18.64674854	17.90996338	18.00145218	17.68543321	17.32734212	16.24497697	18.32300197	18.05918072	17.90996338	18.44057723
A0A075B6R9;A0A0C4DH68	18.77969371	18.61554343	18.74617969	18.35387478	18.8517094	19.03572002	17.97281155	18.64674854	18.51486042	17.90996338	18.18013255	18.64674854	18.81662433	18.9625854	19.17754606	19.46252224	18.1485163	18.58049045	18.32300197	18.67639444	17.53426488	18.44057723	19.42826202	18.67639444	17.65299198	18.29551785	18.23456486	18.64674854	18.23456486	18.88780071	18.61554343	18.9625854	19.52142024	18.11872314	17.93902818	17.61956088	17.82445537	18.26437845	19.70037537	18.61554343	17.65299198	18.54547358	18.20645161	16.57711899	17.57538413	17.97281155	17.97281155	18.05918072	17.93902818	19.30290439	18.29551785	18.88780071	17.79265051	18.74617969	17.85233443	17.87999598	19.79899223	19.87519889	19.98558626	18.51486042	18.61554343	17.75260932	17.79265051	18.35387478	18.05918072	19.03572002	17.75260932	17.97281155	18.61554343	19.52142024	18.8517094	18.88780071	18.51486042	19.36627739	18.74617969	17.49346458	20.11354252	18.81662433	19.17754606	17.90996338	19.36627739	17.12077449	19.73333315	17.90996338	18.35387478	19.00097103	16.42693627	18.3846868	18.23456486	17.28337779	18.26437845	19.23941906	18.44057723	19.33310293	18.67639444	18.03181426	18.92376851	18.1485163	18.8517094	19.30290439	17.79265051	18.58049045	18.8517094	18.32300197	18.51486042	16.80865001	21.12267889	18.64674854	18.64674854	19.17754606	18.54547358	18.9625854	18.08941427	19.10861379	19.00097103	18.9625854	17.45358413	18.61554343	18.67639444	18.81662433	18.8517094	18.9625854	18.88780071	18.81662433	18.77969371	18.51486042	18.67639444	18.41311965	18.88780071	18.3846868	18.64674854	18.67639444	19.36627739	18.26437845	18.64674854	19.03572002	18.54547358	18.88780071	18.58049045	18.35387478	18.92376851	18.41311965	18.26437845	18.51486042	18.54547358	18.03181426	18.58049045	18.41311965	18.58049045	18.61554343	18.29551785
